Id,Id2,Geography,pop,moe
1400000US42001030101,42001030101,"Census Tract 301.01, Adams County, Pennsylvania",2589,24
1400000US42001030102,42001030102,"Census Tract 301.02, Adams County, Pennsylvania",5792,19
1400000US42001030200,42001030200,"Census Tract 302, Adams County, Pennsylvania",5181,248
1400000US42001030300,42001030300,"Census Tract 303, Adams County, Pennsylvania",4267,220
1400000US42001030400,42001030400,"Census Tract 304, Adams County, Pennsylvania",5872,244
1400000US42001030500,42001030500,"Census Tract 305, Adams County, Pennsylvania",3663,150
1400000US42001030600,42001030600,"Census Tract 306, Adams County, Pennsylvania",4924,23
1400000US42001030700,42001030700,"Census Tract 307, Adams County, Pennsylvania",6633,273
1400000US42001030800,42001030800,"Census Tract 308, Adams County, Pennsylvania",7037,273
1400000US42001030900,42001030900,"Census Tract 309, Adams County, Pennsylvania",7857,308
1400000US42001031000,42001031000,"Census Tract 310, Adams County, Pennsylvania",1845,112
1400000US42001031101,42001031101,"Census Tract 311.01, Adams County, Pennsylvania",4962,219
1400000US42001031102,42001031102,"Census Tract 311.02, Adams County, Pennsylvania",3354,183
1400000US42001031201,42001031201,"Census Tract 312.01, Adams County, Pennsylvania",3676,18
1400000US42001031202,42001031202,"Census Tract 312.02, Adams County, Pennsylvania",2703,20
1400000US42001031203,42001031203,"Census Tract 312.03, Adams County, Pennsylvania",3164,32
1400000US42001031300,42001031300,"Census Tract 313, Adams County, Pennsylvania",4438,19
1400000US42001031401,42001031401,"Census Tract 314.01, Adams County, Pennsylvania",4166,119
1400000US42001031402,42001031402,"Census Tract 314.02, Adams County, Pennsylvania",2018,120
1400000US42001031501,42001031501,"Census Tract 315.01, Adams County, Pennsylvania",3390,295
1400000US42001031502,42001031502,"Census Tract 315.02, Adams County, Pennsylvania",4242,294
1400000US42001031600,42001031600,"Census Tract 316, Adams County, Pennsylvania",6896,224
1400000US42001031700,42001031700,"Census Tract 317, Adams County, Pennsylvania",2897,146
1400000US42003010300,42003010300,"Census Tract 103, Allegheny County, Pennsylvania",6027,606
1400000US42003020100,42003020100,"Census Tract 201, Allegheny County, Pennsylvania",4086,376
1400000US42003020300,42003020300,"Census Tract 203, Allegheny County, Pennsylvania",689,109
1400000US42003030500,42003030500,"Census Tract 305, Allegheny County, Pennsylvania",2162,250
1400000US42003040200,42003040200,"Census Tract 402, Allegheny County, Pennsylvania",1757,355
1400000US42003040400,42003040400,"Census Tract 404, Allegheny County, Pennsylvania",2126,256
1400000US42003040500,42003040500,"Census Tract 405, Allegheny County, Pennsylvania",3321,431
1400000US42003040600,42003040600,"Census Tract 406, Allegheny County, Pennsylvania",2323,293
1400000US42003040900,42003040900,"Census Tract 409, Allegheny County, Pennsylvania",3039,393
1400000US42003050100,42003050100,"Census Tract 501, Allegheny County, Pennsylvania",1685,234
1400000US42003050600,42003050600,"Census Tract 506, Allegheny County, Pennsylvania",1929,225
1400000US42003050900,42003050900,"Census Tract 509, Allegheny County, Pennsylvania",1175,170
1400000US42003051000,42003051000,"Census Tract 510, Allegheny County, Pennsylvania",1875,322
1400000US42003051100,42003051100,"Census Tract 511, Allegheny County, Pennsylvania",578,134
1400000US42003060300,42003060300,"Census Tract 603, Allegheny County, Pennsylvania",2552,251
1400000US42003060500,42003060500,"Census Tract 605, Allegheny County, Pennsylvania",1453,159
1400000US42003070300,42003070300,"Census Tract 703, Allegheny County, Pennsylvania",2056,219
1400000US42003070500,42003070500,"Census Tract 705, Allegheny County, Pennsylvania",2852,249
1400000US42003070600,42003070600,"Census Tract 706, Allegheny County, Pennsylvania",1978,191
1400000US42003070800,42003070800,"Census Tract 708, Allegheny County, Pennsylvania",1725,202
1400000US42003070900,42003070900,"Census Tract 709, Allegheny County, Pennsylvania",4787,537
1400000US42003080200,42003080200,"Census Tract 802, Allegheny County, Pennsylvania",1721,166
1400000US42003080400,42003080400,"Census Tract 804, Allegheny County, Pennsylvania",1455,159
1400000US42003080600,42003080600,"Census Tract 806, Allegheny County, Pennsylvania",2078,267
1400000US42003080700,42003080700,"Census Tract 807, Allegheny County, Pennsylvania",1768,254
1400000US42003080900,42003080900,"Census Tract 809, Allegheny County, Pennsylvania",1769,159
1400000US42003090100,42003090100,"Census Tract 901, Allegheny County, Pennsylvania",1728,175
1400000US42003090200,42003090200,"Census Tract 902, Allegheny County, Pennsylvania",2790,262
1400000US42003090300,42003090300,"Census Tract 903, Allegheny County, Pennsylvania",1771,199
1400000US42003100500,42003100500,"Census Tract 1005, Allegheny County, Pennsylvania",2368,227
1400000US42003101100,42003101100,"Census Tract 1011, Allegheny County, Pennsylvania",2815,306
1400000US42003101400,42003101400,"Census Tract 1014, Allegheny County, Pennsylvania",3326,275
1400000US42003101600,42003101600,"Census Tract 1016, Allegheny County, Pennsylvania",949,112
1400000US42003101700,42003101700,"Census Tract 1017, Allegheny County, Pennsylvania",1494,181
1400000US42003101800,42003101800,"Census Tract 1018, Allegheny County, Pennsylvania",2689,251
1400000US42003110200,42003110200,"Census Tract 1102, Allegheny County, Pennsylvania",4498,567
1400000US42003110600,42003110600,"Census Tract 1106, Allegheny County, Pennsylvania",2404,259
1400000US42003111300,42003111300,"Census Tract 1113, Allegheny County, Pennsylvania",2417,248
1400000US42003111400,42003111400,"Census Tract 1114, Allegheny County, Pennsylvania",1304,156
1400000US42003111500,42003111500,"Census Tract 1115, Allegheny County, Pennsylvania",3136,368
1400000US42003120300,42003120300,"Census Tract 1203, Allegheny County, Pennsylvania",1562,199
1400000US42003120400,42003120400,"Census Tract 1204, Allegheny County, Pennsylvania",766,110
1400000US42003120700,42003120700,"Census Tract 1207, Allegheny County, Pennsylvania",812,140
1400000US42003120800,42003120800,"Census Tract 1208, Allegheny County, Pennsylvania",889,303
1400000US42003130100,42003130100,"Census Tract 1301, Allegheny County, Pennsylvania",1838,229
1400000US42003130200,42003130200,"Census Tract 1302, Allegheny County, Pennsylvania",1397,211
1400000US42003130300,42003130300,"Census Tract 1303, Allegheny County, Pennsylvania",1316,146
1400000US42003130400,42003130400,"Census Tract 1304, Allegheny County, Pennsylvania",1045,147
1400000US42003130600,42003130600,"Census Tract 1306, Allegheny County, Pennsylvania",2980,286
1400000US42003140100,42003140100,"Census Tract 1401, Allegheny County, Pennsylvania",5548,487
1400000US42003140200,42003140200,"Census Tract 1402, Allegheny County, Pennsylvania",2627,323
1400000US42003140300,42003140300,"Census Tract 1403, Allegheny County, Pennsylvania",3621,482
1400000US42003140400,42003140400,"Census Tract 1404, Allegheny County, Pennsylvania",2360,119
1400000US42003140500,42003140500,"Census Tract 1405, Allegheny County, Pennsylvania",1783,237
1400000US42003140600,42003140600,"Census Tract 1406, Allegheny County, Pennsylvania",2990,252
